time,band,flux,fluxerr,zp,zpsys,mag
27.1,desr,28829204945.52522,169791.36368118227,50.0,ab,1.1674805671472193
27.200000000000003,desr,28655706554.736214,169280.3430424222,50.0,ab,1.1740344280270527
27.300000000000004,desr,28483397362.001427,168771.2964320349,50.0,ab,1.180582759493472
27.4,desr,28312738145.15685,168263.63737990492,50.0,ab,1.1871075501818957
27.5,desr,28142202049.685394,167756.77227072135,50.0,ab,1.193667039063353
27.6,desr,27972347331.385525,167250.10027412543,50.0,ab,1.2002399504552592
27.700000000000003,desr,27803139086.559574,166743.01325270216,50.0,ab,1.2068276502841897
27.800000000000004,desr,27634519683.746082,166237.24260217822,50.0,ab,1.2134324297460601
27.9,desr,27468229868.437294,165734.69758663911,50.0,ab,1.2199855481485145
28.0,desr,27302400281.327873,165235.0280169809,50.0,ab,1.2265601570665225
28.1,desr,27138467810.27904,164737.8792918999,50.0,ab,1.2330989196966122
28.200000000000003,desr,26975553198.902805,164242.89238898296,50.0,ab,1.239636331737188
28.300000000000004,desr,26813633794.34593,163749.70384887946,50.0,ab,1.2461730466655574
28.4,desr,26653337600.213295,163257.94575207215,50.0,ab,1.2526832303679356
28.5,desr,26492895707.53039,162767.24568774688,50.0,ab,1.2592386564064917
28.6,desr,26333999019.739082,162277.22671424405,50.0,ab,1.265770193341421
28.700000000000003,desr,26175441468.19333,161787.50731055476,50.0,ab,1.2723271932210558
28.800000000000004,desr,26017064467.063637,161297.70131830528,50.0,ab,1.2789164982885737
28.9,desr,25858695182.045414,160807.4178736458,50.0,ab,1.2855457140074833
29.0,desr,25701410463.576134,160316.26132843486,50.0,ab,1.2921698370913326
29.1,desr,25543741407.070263,159823.8311600814,50.0,ab,1.2988509586004149
29.200000000000003,desr,25386285483.688454,159330.47710758448,50.0,ab,1.305564331900122
29.300000000000004,desr,25229317116.970547,158836.88718562035,50.0,ab,1.3122984919750245
29.4,desr,25072507943.38717,158343.1655332557,50.0,ab,1.3190677870573495
29.5,desr,24916383133.542976,157849.41759189012,50.0,ab,1.3258497302456362
29.6,desr,24760762896.067158,157355.7501262127,50.0,ab,1.332652177335543
29.700000000000003,desr,24605653518.34189,156862.27124483883,50.0,ab,1.3394749703804116
29.800000000000004,desr,24451024252.96603,156369.09042059,50.0,ab,1.3463195899255318
29.9,desr,24297431697.82661,155876.31851037455,50.0,ab,1.353161306097249
30.0,desr,24144126122.106926,155384.06777462587,50.0,ab,1.3600335033239617
30.1,desr,23991626001.23431,154892.45189625246,50.0,ab,1.3669130242255996
30.200000000000003,desr,23839631013.334507,154401.5859990518,50.0,ab,1.3738134080786217
30.300000000000004,desr,23688763309.609108,153911.5866655386,50.0,ab,1.3807062594175221
30.4,desr,23538393084.391026,153422.5719541317,50.0,ab,1.387620203080818
30.5,desr,23389069332.019966,152934.66141564777,50.0,ab,1.3945298778435884
30.6,desr,23240037294.82619,152447.47934203205,50.0,ab,1.4014701793474593
30.700000000000003,desr,23092109436.670628,151960.63941969414,50.0,ab,1.408403213466034
30.800000000000004,desr,22944317435.52329,151474.24742840178,50.0,ab,1.4153743747215906
30.9,desr,22797425114.802975,150988.41050752017,50.0,ab,1.4223477364766772
31.0,desr,22651113703.59437,150503.2371744055,50.0,ab,1.429338330640153
31.1,desr,22505885965.620846,150018.83734230653,50.0,ab,1.4363219459307714
31.200000000000003,desr,22360690878.699333,149535.32233772243,50.0,ab,1.4433491864305843
31.300000000000004,desr,22216783195.678493,149052.80491716898,50.0,ab,1.450359288623524
31.4,desr,22073716621.73183,148571.3992832994,50.0,ab,1.4573735738503935
31.5,desr,21931273471.51791,148091.22110032482,50.0,ab,1.4644026051100134
31.6,desr,21789427156.03476,147612.38750867647,50.0,ab,1.471447699007605
31.700000000000003,desr,21648528626.949787,147135.01713884991,50.0,ab,1.4784912703722242
31.800000000000004,desr,21508794243.971035,146659.23012436737,50.0,ab,1.4855220683326529
31.9,desr,21370216832.790752,146185.14811379448,50.0,ab,1.4925399091146936
32.0,desr,21232445385.692047,145712.42863608102,50.0,ab,1.4995621918432498
32.1,desr,21094957793.805042,145240.71498981994,50.0,ab,1.5066155790107167
32.2,desr,20958493771.10767,144770.10959691598,50.0,ab,1.5136620612679472
32.300000000000004,desr,20822779433.592587,144300.7161913473,50.0,ab,1.520715483850335
32.4,desr,20687761493.982334,143832.6398322578,50.0,ab,1.5277784793699674
32.5,desr,20553607284.920914,143365.9869163797,50.0,ab,1.534842095339183
32.6,desr,20420545614.877544,142900.86518973316,50.0,ab,1.5418938765362675
32.7,desr,20288515349.86453,142437.38375854844,50.0,ab,1.5489365612888157
32.800000000000004,desr,20156817172.274998,141975.6530993554,50.0,ab,1.556007339347076
32.9,desr,20026836906.857616,141515.78506818108,50.0,ab,1.5630313283544979
33.0,desr,19897371151.573944,141057.8929087952,50.0,ab,1.5700729783879588
33.1,desr,19769009930.832546,140602.09125994155,50.0,ab,1.5770999320610564
33.2,desr,19641690983.66836,140148.49616148853,50.0,ab,1.5841150456308313
